id,listing_id,num_bedrooms,num_bathrooms,accommodates_guests,property_type,room_type,location_neighborhood,latitude,longitude,amenities_list,host_is_superhost,average_guest_rating,num_reviews,historical_occupancy_rate_percent,minimum_nights_stay,distance_to_city_center_km,public_transport_proximity,seasonal_period,local_demand_index_2025,price_per_night_inr
1,Keep,Significant,4166.2,Action,Ten,That,Suggest,101.69,8252.07,Fire,Top,2986.4,Home,3684.12,Work,1936.61,Daughter,Expect,5660.08,1616.88
2,Others,Least,1242.67,Color,Hour,Capital,Two,4329.36,5620.78,Lead,Every,1743.44,Or,5532.21,Product,3549.01,Contain,Population,9580.65,912.94
3,On,Culture,9786.4,Hear,Sing,Significant,Benefit,4121.19,5039.35,Nice,Simply,1481.46,Itself,7189.67,Pay,1899.71,Mother,Compare,3415.6,235.21
4,Choose,Describe,3395.18,Serve,Bank,Customer,Third,9674.82,9787.98,Growth,Fund,7445.3,Agent,34.55,Low,9402.39,Group,Agreement,8707.67,7708.34
5,Mrs,Rock,1788.74,Size,Just,About,According,995.0,4145.32,Yard,Record,8855.36,Truth,5780.86,Common,7365.82,Spend,Partner,2326.21,5235.98
6,Country,Few,7093.86,Bit,Read,Join,Born,8248.34,8071.25,Value,Responsibility,2323.08,Participant,8731.9,Court,2163.8,Since,How,8018.99,5550.85
7,Early,Need,1858.28,Pick,Security,White,Thank,5886.09,5182.39,Girl,Surface,9586.63,Amount,415.39,Each,1641.38,Call,Tv,9832.93,8322.05
8,Money,Direction,1502.72,Since,Suffer,Something,One,2291.13,5391.38,Relationship,Cultural,1569.81,Even,3237.61,Per,493.19,Leader,National,7116.77,785.63
9,Whom,Carry,9946.04,Analysis,Community,Fish,Treatment,9205.7,7888.29,There,Act,7724.06,Citizen,3677.52,Drop,6787.06,Hard,Notice,7612.59,4807.76
10,Guess,Close,615.25,Imagine,Game,Add,Appear,6261.04,3257.61,Ask,Seek,6100.89,Light,4208.28,Bar,9525.31,Important,Successful,2015.95,7688.56
